"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
44,"Z3",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"eDNA",3,"eDNA"
45,"Z3",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
46,"Z3",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
47,"Z3",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
48,"Z3",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
49,"Z3",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
50,"Z3",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
51,"Z3",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
52,"Z3",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
53,"Z3",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
1,"Z4.1",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
2,"Z4.1",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
3,"Z4.1",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
4,"Z4.1",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
5,"Z4.1",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"eDNA",3,"eDNA"
6,"Z4.1",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
7,"Z4.1",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
8,"Z4.1",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
9,"Z4.1",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
10,"Z4.1",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
11,"Z4.1",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
12,"Z4.1",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"eDNA"
